epoch,accuracy,loss,val_accuracy,val_loss
0,0.39903995394706726,1.6145906448364258,0.6045581698417664,1.0342929363250732
1,0.5563802719116211,1.1270296573638916,0.6832267045974731,0.8339393734931946
2,0.6220721006393433,0.9832814335823059,0.7392043471336365,0.7114012241363525
3,0.6676408052444458,0.8705084919929504,0.781987190246582,0.6257110238075256
4,0.6949975490570068,0.8084362745285034,0.8158736228942871,0.545417845249176
5,0.7189208269119263,0.7477473020553589,0.8329668045043945,0.5267755389213562
6,0.7345659732818604,0.7102259397506714,0.8319672346115112,0.48113182187080383
7,0.7532557249069214,0.6652401685714722,0.853158712387085,0.41121622920036316
8,0.7615338563919067,0.6416845321655273,0.8625549674034119,0.41719165444374084
9,0.7732565999031067,0.6129820942878723,0.8646541237831116,0.39158758521080017
10,0.7866016030311584,0.5782761573791504,0.8868452906608582,0.38757622241973877
11,0.7982577085494995,0.5522235631942749,0.8745501637458801,0.38538897037506104
12,0.8055357933044434,0.5333882570266724,0.8783486485481262,0.3768206536769867
13,0.8148251175880432,0.5112411975860596,0.8556577563285828,0.42274442315101624
14,0.8216031789779663,0.494259238243103,0.882646918296814,0.34622928500175476
15,0.8297146558761597,0.47302302718162537,0.8838464617729187,0.4090117812156677
16,0.8362927436828613,0.4602600038051605,0.9056377410888672,0.3017161786556244
17,0.841548502445221,0.4507392942905426,0.8988404870033264,0.31553080677986145
18,0.8523934483528137,0.4209628403186798,0.9157336950302124,0.2806720435619354
19,0.8160918354988098,0.5247464776039124,0.8254697918891907,0.5157700181007385
20,0.8715276122093201,0.37277117371559143,0.9016393423080444,0.29195237159729004
21,0.8852282166481018,0.3382948637008667,0.9218312501907349,0.23847921192646027
22,0.8901618123054504,0.3245934545993805,0.9251299500465393,0.2319127470254898
23,0.8927396535873413,0.31865590810775757,0.8841463327407837,0.3282358944416046
24,0.8967398405075073,0.3078024387359619,0.8950420022010803,0.2999196946620941
25,0.8993510603904724,0.29715484380722046,0.9255297780036926,0.22609181702136993
26,0.9051624536514282,0.2809491455554962,0.9303278923034668,0.2083064764738083
27,0.9051069021224976,0.2867276966571808,0.912834882736206,0.25916141271591187
28,0.9091514945030212,0.2739292085170746,0.9207317233085632,0.2412293553352356
29,0.9094959497451782,0.2711568772792816,0.9141343235969543,0.2552848756313324
30,0.9101071357727051,0.2696477472782135,0.9146341681480408,0.22498224675655365
31,0.9111849665641785,0.2650611698627472,0.9069372415542603,0.2485964596271515
32,0.9145628809928894,0.2567204236984253,0.9303278923034668,0.2087939977645874
33,0.9139628410339355,0.2605957090854645,0.9346261620521545,0.19348560273647308
34,0.9169074296951294,0.25078487396240234,0.9284286499023438,0.22119975090026855
35,0.9148295521736145,0.25211301445961,0.9370251893997192,0.18083332479000092
36,0.9184630513191223,0.24496954679489136,0.9027389287948608,0.2659619152545929
37,0.9202408790588379,0.23929576575756073,0.9307277202606201,0.20089346170425415
38,0.9207964539527893,0.23748403787612915,0.8954418301582336,0.2788645625114441
39,0.9209187030792236,0.2367630898952484,0.9295281767845154,0.1962822526693344
